Risk_Rank,Observation_ID,Risk_Score,Risk_Score_Pct,Risk_Category,Risk_Band_Order,Priority_Level,Priority_Order,Recommended_Action,Review_Status,Operational_Response,Planning_Response,Evidence_To_Check,Action_Rationale,Decision_Owner,Human_Approval_Required,Human_Review_Flag,Autonomous_Control,Autonomous_Control_Flag
51,UCI_TEST_09582,0.8781528372178499,87.815283721785,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
52,UCI_TEST_14205,0.8780529424493202,87.80529424493201,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
53,UCI_TEST_12362,0.877838783901612,87.78387839016119,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
54,UCI_TEST_09197,0.8773617934400768,87.73617934400768,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
55,UCI_TEST_09373,0.876255714659099,87.6255714659099,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
56,UCI_TEST_12128,0.8757382843598066,87.57382843598066,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
57,UCI_TEST_00891,0.8722068782244421,87.2206878224442,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
58,UCI_TEST_12471,0.8712058628514466,87.12058628514467,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
59,UCI_TEST_00834,0.8704621674235542,87.04621674235543,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
60,UCI_TEST_06160,0.8646230404253988,86.46230404253988,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
61,UCI_TEST_11740,0.8634274528573959,86.34274528573958,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
62,UCI_TEST_11539,0.8582521527918568,85.82521527918568,Critical,1,P1,1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,1,No,0
