Risk_Rank,Observation_ID,Risk_Score,Risk_Category,Priority_Level,Recommended_Action,Review_Status,Operational_Response,Planning_Response,Evidence_To_Check,Action_Rationale,Decision_Owner,Human_Approval_Required,Autonomous_Control
11,UCI_TEST_02801,0.952796888210183,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
12,UCI_TEST_00435,0.9513397471018954,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
13,UCI_TEST_06982,0.950925225206926,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
14,UCI_TEST_01129,0.9456623198915778,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
15,UCI_TEST_01278,0.945557929639948,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
16,UCI_TEST_15299,0.9450186450120204,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
17,UCI_TEST_10760,0.9448807011140518,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
18,UCI_TEST_12135,0.939559420722405,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
19,UCI_TEST_03423,0.9390582897979566,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
20,UCI_TEST_13852,0.9324479259165406,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
21,UCI_TEST_11829,0.9323929175179057,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
22,UCI_TEST_04269,0.931442743257068,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
23,UCI_TEST_14996,0.925301285676716,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
24,UCI_TEST_05634,0.9248471732069494,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
25,UCI_TEST_12965,0.9246792721340156,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
26,UCI_TEST_03364,0.9242738630624048,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
27,UCI_TEST_09950,0.9186511356266642,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
28,UCI_TEST_09532,0.918459820046658,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
29,UCI_TEST_02072,0.9124557521894966,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
30,UCI_TEST_09323,0.9120713527311818,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
31,UCI_TEST_03989,0.911979690299246,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
32,UCI_TEST_06131,0.911872291605805,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
33,UCI_TEST_14426,0.9118087989048766,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
34,UCI_TEST_06498,0.9116669958837416,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
35,UCI_TEST_11533,0.911633005649618,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
36,UCI_TEST_09796,0.9114547055029372,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
37,UCI_TEST_06228,0.9113897501646862,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
38,UCI_TEST_06512,0.906234777777778,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
39,UCI_TEST_02285,0.9059625704188894,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
40,UCI_TEST_01830,0.9049521991920216,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
41,UCI_TEST_06928,0.9049460784284,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
42,UCI_TEST_14089,0.8930853510532908,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
43,UCI_TEST_00729,0.8916984638880907,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
44,UCI_TEST_11295,0.8914590653429619,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
45,UCI_TEST_10682,0.8911947180425608,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
46,UCI_TEST_11621,0.8905903799137633,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
47,UCI_TEST_02937,0.8904129812499179,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
48,UCI_TEST_12699,0.8851432732327634,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
49,UCI_TEST_09622,0.8850277049451504,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
50,UCI_TEST_00909,0.8846154131352986,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
51,UCI_TEST_09582,0.8781528372178499,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
52,UCI_TEST_14205,0.8780529424493202,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
53,UCI_TEST_12362,0.877838783901612,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
54,UCI_TEST_09197,0.8773617934400768,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
55,UCI_TEST_09373,0.876255714659099,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
56,UCI_TEST_12128,0.8757382843598066,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
57,UCI_TEST_00891,0.8722068782244421,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
58,UCI_TEST_12471,0.8712058628514466,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
59,UCI_TEST_00834,0.8704621674235542,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
60,UCI_TEST_06160,0.8646230404253988,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
61,UCI_TEST_11740,0.8634274528573959,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
62,UCI_TEST_11539,0.8582521527918568,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
63,UCI_TEST_05071,0.8582110417155043,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
64,UCI_TEST_13898,0.8513406563208743,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
65,UCI_TEST_03996,0.849871501261953,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
66,UCI_TEST_09649,0.845165762489165,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
67,UCI_TEST_01567,0.8447987240364819,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
68,UCI_TEST_03295,0.8447582498751572,Critical,P1,Immediate technical review / inspection,Human review required,Escalate to responsible maintenance/operations lead; validate condition and arrange immediate inspection.,Create or prioritize a maintenance work item after human validation; consider restricting non-essential use only when separately authorized.,"Recent alarms/alerts, operating condition indicators, maintenance history, outstanding defects, recent abnormal events.",Highest-risk band requires immediate human-led validation and inspection.,Maintenance/Operations responsible person,Yes,No
